type	latitude	longitude	altitude (m)	name	desc
T	-22.501399470	-43.196972135	873.2		
T	-22.501446129	-43.197293070	884.7		
T	-22.501474397	-43.197551976	893.0		
T	-22.501507043	-43.197875888	899.7		
T	-22.501548527	-43.198197028	900.8		
T	-22.501575536	-43.198454970	896.8		
T	-22.501561954	-43.198792466	885.9		
T	-22.501501918	-43.199144905	876.4		
T	-22.501480497	-43.199419055	874.9		
T	-22.501518169	-43.199741586	878.4		
T	-22.501553693	-43.200130805	879.7		
T	-22.501571346	-43.200459094	876.4		
T	-22.501589381	-43.200720510	877.5		
T	-22.501563683	-43.201046058	883.4		
T	-22.501564297	-43.201246720	884.6		
T	-22.501557762	-43.201719117	882.2		
T	-22.501590144	-43.202175534	886.9		
T	-22.501563766	-43.202567714	892.2		
T	-22.501621270	-43.202946478	902.1		
T	-22.501670259	-43.203260646	908.9		
T	-22.501764060	-43.203687721	928.9		
T	-22.501896457	-43.203962747	946.9		
T	-22.501970525	-43.204328941	960.3		
T	-22.502007374	-43.204511360	965.1		
T	-22.502093121	-43.204936534	971.0		
T	-22.502123275	-43.205320861	974.4		
T	-22.502120804	-43.205789042	973.2		
T	-22.502062825	-43.206125204	974.6		
T	-22.502079916	-43.206516513	973.3		
T	-22.502100213	-43.206839794	973.6		
T	-22.502100018	-43.207107517	973.4		
T	-22.502155574	-43.207477722	968.9		
T	-22.502171014	-43.207736382	972.6		
T	-22.502196202	-43.208122852	977.7		
T	-22.502212380	-43.208514585	978.4		
T	-22.502257459	-43.208822673	977.8		
T	-22.502266083	-43.209084961	979.0		
T	-22.502317940	-43.209454019	982.0		
T	-22.502375353	-43.209787286	983.4		
T	-22.502356044	-43.210067613	985.0		
T	-22.502359516	-43.210400694	987.6		
T	-22.502429694	-43.210793175	989.5		
T	-22.502492548	-43.211056295	987.0		
T	-22.502422583	-43.211574987	960.0		
T	-22.502403358	-43.211858009	948.7		
T	-22.502394858	-43.212066677	941.7		
T	-22.502319804	-43.212593644	921.7		
T	-22.502277638	-43.212895195	908.7		
T	-22.502260384	-43.213315619	898.6		
T	-22.502275465	-43.213645160	899.0		
T	-22.502301056	-43.213898467	900.5		
T	-22.502342447	-43.214343847	905.4		
T	-22.502366322	-43.214530105	906.1		
T	-22.502444534	-43.214853062	902.3		
T	-22.502456118	-43.215252879	898.9		
T	-22.502471056	-43.215581752	898.0		
T	-22.502478221	-43.216053892	898.2		
T	-22.502507350	-43.216234858	900.0		
T	-22.502488423	-43.216682054	905.2		
T	-22.502489513	-43.217022571	902.9		
T	-22.502490163	-43.217227081	899.4		
T	-22.502487409	-43.217503059	895.6		
T	-22.502488714	-43.217844368	895.2		
T	-22.502585754	-43.218151264	890.9		
T	-22.502601493	-43.218479870	890.7		
T	-22.502677304	-43.218804833	886.0		
T	-22.502667100	-43.219088451	880.4		
T	-22.502646691	-43.219381760	878.0		
T	-22.502626243	-43.219675639	874.5		
T	-22.502599552	-43.220113142	865.4		
T	-22.502608059	-43.220312128	861.7		
T	-22.502621434	-43.220713759	854.3		
T	-22.502609999	-43.221070363	852.9		
T	-22.502649425	-43.221446669	862.7		
T	-22.502691192	-43.221820061	871.5		
T	-22.502727959	-43.222128807	876.6		
T	-22.502754462	-43.222309504	881.5		
T	-22.502890421	-43.222574889	893.5		
T	-22.502945935	-43.222794152	901.3		
T	-22.502974487	-43.223109329	905.4		
T	-22.502977052	-43.223451481	895.5		
T	-22.502928052	-43.223848421	878.7		
T	-22.502837356	-43.224290777	863.8		
T	-22.502844889	-43.224629877	861.3		
T	-22.502869992	-43.224950311	864.7		
T	-22.502913900	-43.225249195	871.4		
T	-22.502974477	-43.225460406	876.3		
T	-22.503087547	-43.225676092	880.3		
T	-22.503121251	-43.225915835	886.7		
T	-22.503174555	-43.226202314	893.9		
T	-22.503283085	-43.226490212	902.9		
T	-22.503335855	-43.226775690	917.3		
T	-22.503403651	-43.227042916	932.7		
T	-22.503462099	-43.227250900	943.1		
T	-22.503595351	-43.227506179	952.6		
T	-22.503686129	-43.227741816	955.1		
T	-22.503641199	-43.228141181	948.4		
T	-22.503630935	-43.228568530	942.6		
T	-22.503750293	-43.228769167	950.5		
T	-22.503768169	-43.228955001	949.9		
T	-22.503782577	-43.229352050	941.8		
T	-22.503654848	-43.229787480	925.7		
T	-22.503511199	-43.230315704	895.7		
T	-22.503492339	-43.230689281	884.6		
T	-22.503528153	-43.230922940	885.6		
T	-22.503511148	-43.231289857	892.5		
T	-22.503552058	-43.231585900	900.6		
T	-22.503592914	-43.231881513	906.5		
T	-22.503644008	-43.232163022	911.2		
T	-22.503589603	-43.232438049	909.8		
T	-22.503677164	-43.232677185	913.7		
T	-22.503684516	-43.232946727	913.4		
